City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Lebu,-37.62,-73.65,58.59,70,0,19.33,CL,1608492482
Rikitea,-23.12,-134.97,77.16,76,42,22.64,PF,1608492482
Belyy Yar,53.6,91.39,17.6,72,0,13.42,RU,1608492483
Thompson,55.74,-97.86,-11.2,76,75,2.24,CA,1608492314
Charters Towers,-20.1,146.27,75.52,81,45,12.53,AU,1608492483
Busselton,-33.65,115.33,52.0,87,0,13.51,AU,1608492483
Half Moon Bay,37.46,-122.43,57.0,71,20,4.7,US,1608492483
Eureka,40.8,-124.16,60.01,87,1,5.82,US,1608492483
Lorengau,-2.02,147.27,82.11,75,90,5.66,PG,1608492483
Iqaluit,63.75,-68.51,-0.4,64,40,3.8,CA,1608492483
Orange Cove,36.62,-119.31,42.8,100,75,3.36,US,1608492483
Saint Paul Harbor,57.79,-152.41,15.8,92,1,8.05,US,1608492237
Qaanaaq,77.48,-69.36,-1.05,74,69,5.91,GL,1608492483
Yellowknife,62.46,-114.35,-18.0,75,75,5.82,CA,1608492436
Vaini,-21.2,-175.2,78.8,88,20,11.41,TO,1608492483
Ushuaia,-54.8,-68.3,51.8,71,75,28.86,AR,1608492440
Bluff,-46.6,168.33,53.83,81,100,16.49,NZ,1608492484
Marabu,4.41,114.01,80.01,100,40,3.36,MY,1608492484
Salinópolis,-0.61,-47.36,83.79,67,10,12.39,BR,1608492484
Hambantota,6.12,81.12,75.2,100,90,4.7,LK,1608492484
New Norfolk,-42.78,147.06,48.99,68,0,1.43,AU,1608492484
Port Hardy,50.7,-127.42,46.4,93,75,3.36,CA,1608492484
Atuona,-9.8,-139.03,78.6,77,75,17.52,PF,1608492484
Kaspiysk,42.88,47.64,41.0,93,90,8.95,RU,1608492485
Antananarivo,-18.91,47.54,68.0,82,75,11.41,MG,1608492485
Popova,42.96,131.72,-4.0,76,0,4.47,RU,1608492485
Punta Arenas,-53.15,-70.92,60.8,55,0,43.62,CL,1608492200
Albany,42.6,-73.97,33.01,75,100,6.51,US,1608492485
Deputatsky,69.3,139.9,-26.03,88,100,3.0,RU,1608492485
Adrian,41.9,-84.04,33.8,74,90,9.17,US,1608492346
Muros,42.78,-9.06,57.99,92,100,3.0,ES,1608492485
Nanortalik,60.14,-45.24,25.93,91,100,11.21,GL,1608492485
Lagoa,39.05,-27.98,64.17,87,100,21.65,PT,1608492485
Provideniya,64.38,-173.3,-3.71,88,22,13.22,RU,1608492485
Saint-Philippe,-21.36,55.77,75.2,83,0,4.7,RE,1608492485
Mataura,-46.19,168.86,52.43,77,100,5.86,NZ,1608492485
Hong Kong,22.29,114.16,59.0,58,100,1.99,HK,1608492416
Rudnichnyy,59.62,52.47,9.72,95,100,10.29,RU,1608492486
Puerto Ayora,-0.74,-90.35,78.8,69,75,13.87,EC,1608492486
Bisceglie,41.24,16.5,55.0,93,40,4.7,IT,1608492486
Cape Town,-33.93,18.42,71.6,68,20,18.34,ZA,1608492459
Kropotkin,45.44,40.58,32.07,94,100,7.07,RU,1608492487
Bud,39.45,-86.18,41.0,66,1,8.05,US,1608492487
Carnarvon,-24.87,113.63,75.2,73,0,19.46,AU,1608492487
Pontes e Lacerda,-15.23,-59.34,97.25,34,93,4.38,BR,1608492487
Date,42.47,140.87,24.28,91,100,21.0,JP,1608492487
Faanui,-16.48,-151.75,80.24,69,5,4.41,PF,1608492487
Hermanus,-34.42,19.23,70.0,77,0,3.0,ZA,1608492487
Hilo,19.73,-155.09,73.4,88,90,4.7,US,1608492335
Hobart,-42.88,147.33,48.99,93,0,6.93,AU,1608492294
Barrow,71.29,-156.79,-18.4,68,1,13.87,US,1608492488
Wau,7.7,28.0,80.02,24,0,4.29,SS,1608492488
Moose Jaw,50.4,-105.53,39.2,69,63,19.46,CA,1608492488
Santa Rosa,14.31,121.11,79.0,88,75,3.36,PH,1608492488
Kavaratti,10.57,72.64,81.45,69,89,5.41,IN,1608492488
Santa Fe,-31.63,-60.7,84.99,23,0,8.01,AR,1608492488
Husavik,66.04,-17.34,32.0,92,90,8.12,IS,1608492488
José Bonifácio,-21.05,-49.69,89.6,43,40,6.93,BR,1608492488
Chizhou,30.66,117.48,35.22,81,0,3.58,CN,1608492488
Shangqiu,34.45,115.65,31.66,83,0,0.58,CN,1608492488
Bambanglipuro,-7.95,110.28,76.17,83,100,6.24,ID,1608492488
Adrar,20.5,-10.07,64.98,28,0,12.46,MR,1608492489
Saskylakh,71.92,114.08,-39.24,80,35,3.13,RU,1608492489
Aksarka,66.56,67.8,-17.18,86,99,18.14,RU,1608492489
Sitka,57.05,-135.33,37.4,86,75,4.7,US,1608492489
Sokna,60.24,9.92,43.0,88,100,17.0,NO,1608492489
Arrecife,28.96,-13.55,66.2,82,75,9.17,ES,1608492206
Misratah,32.38,15.09,65.41,69,97,13.6,LY,1608492282
Spolaita,38.7,21.35,50.0,100,40,3.09,GR,1608492490
Cayenne,4.93,-52.33,82.4,83,75,8.05,GF,1608492490
Itarema,-2.92,-39.92,84.09,66,2,19.04,BR,1608492490
Kapaa,22.08,-159.32,77.0,88,90,19.46,US,1608492490
Shache,38.42,77.24,15.21,95,3,1.39,CN,1608492490
Tuktoyaktuk,69.45,-133.04,-41.8,64,20,4.7,CA,1608492490
Ancud,-41.87,-73.82,57.2,71,90,5.82,CL,1608492490
Kenai,60.55,-151.26,10.4,85,75,6.93,US,1608492210
Puerto Plata,19.79,-70.69,82.4,78,40,11.41,DO,1608492425
Brookings,44.31,-96.8,39.99,55,1,9.17,US,1608492195
Kupang,-10.17,123.58,81.7,81,100,14.41,ID,1608492253
Sunbury,-37.58,144.73,50.0,87,0,9.17,AU,1608492491
Mlonggo,-6.53,110.7,78.78,85,100,6.58,ID,1608492491
Constitución,-35.33,-72.42,66.61,49,0,19.91,CL,1608492491
Micheweni,-4.97,39.83,81.01,81,0,9.69,TZ,1608492491
Sørland,67.67,12.69,46.4,81,75,24.16,NO,1608492491
Tsuyama,35.05,134.0,31.08,96,11,2.57,JP,1608492491
Jamame,0.07,42.75,78.08,82,5,8.84,SO,1608492491
Mount Isa,-20.73,139.5,75.2,100,40,8.05,AU,1608492379
Port Alfred,-33.59,26.89,72.0,93,54,1.99,ZA,1608492491
San Felipe,10.34,-68.74,82.63,63,28,7.47,VE,1608492491
Jamestown,42.1,-79.24,35.01,98,90,6.93,US,1608492447
Saldanha,-33.01,17.94,68.0,68,0,10.29,ZA,1608492491
Fare,-16.7,-151.02,81.21,70,48,7.25,PF,1608492491
Souillac,-20.52,57.52,78.8,78,20,9.17,MU,1608492492
Mount Gambier,-37.83,140.77,53.6,76,90,5.82,AU,1608492492
Upernavik,72.79,-56.15,9.68,85,95,6.24,GL,1608492492
Craig,40.52,-107.55,28.4,68,90,6.93,US,1608492492
Kailua,21.4,-157.74,80.6,73,75,8.05,US,1608492492
Kathu,7.92,98.33,82.99,83,20,1.12,TH,1608492367
Chase,50.82,-119.69,39.2,93,100,2.24,CA,1608492492
Vila Franca do Campo,37.72,-25.43,62.6,88,75,13.87,PT,1608492492
Esperance,-33.87,121.9,59.0,82,10,4.7,AU,1608492492
Mahébourg,-20.41,57.7,78.8,78,20,9.17,MU,1608492492
Petropavlovsk-Kamchatskiy,53.05,158.65,3.2,71,16,11.18,RU,1608492325
Matagami,49.75,-77.63,30.2,92,90,13.87,CA,1608492493
Riyadh,24.69,46.72,57.2,62,0,2.24,SA,1608492493
Malanje,-9.54,16.34,60.91,94,90,1.41,AO,1608492493
Kampong Thom,12.71,104.89,65.91,77,100,5.88,KH,1608492493
Ketchikan,55.34,-131.65,37.4,100,90,9.17,US,1608492493
Aloleng,16.13,119.78,78.48,77,95,14.58,PH,1608492493
Metro,-5.11,105.31,73.78,90,100,3.94,ID,1608492493
Batouri,4.43,14.37,76.87,29,3,2.1,CM,1608492493
Okhotsk,59.38,143.3,-11.63,89,100,9.62,RU,1608492494
Nhulunbuy,-12.23,136.77,78.8,88,40,8.03,AU,1608492494
Guangming,45.33,122.78,14.59,81,0,14.99,CN,1608492494
Castro,-24.79,-50.01,75.2,84,100,6.91,BR,1608492494
Andenes,69.31,16.12,42.01,86,91,14.99,NO,1608492494
Avarua,-21.21,-159.78,80.6,65,100,2.24,CK,1608492494
Bredasdorp,-34.53,20.04,68.0,82,0,8.05,ZA,1608492494
Itacoatiara,-3.14,-58.44,85.26,79,98,1.52,BR,1608492494
Millinocket,45.66,-68.71,32.0,92,90,4.7,US,1608492332
Cienfuegos,22.15,-80.44,84.2,58,40,6.93,CU,1608492494
Salalah,17.02,54.09,77.0,38,0,10.29,OM,1608492494
Nikolskoye,59.7,30.79,34.0,95,90,11.18,RU,1608492494
Sambava,-14.27,50.17,77.45,86,95,6.76,MG,1608492495
Quatre Cocos,-20.21,57.76,78.8,78,20,9.17,MU,1608492495
Ust-Nera,64.57,143.2,-27.27,76,100,4.27,RU,1608492495
Lüderitz,-26.65,15.16,66.2,77,69,4.7,NA,1608492495
Aizawl,23.73,92.72,44.33,75,0,2.66,IN,1608492495
Coahuayana Viejo,18.73,-103.68,84.2,42,40,5.46,MX,1608492495
São José da Coroa Grande,-8.9,-35.15,81.28,70,0,13.91,BR,1608492495
Minsk,53.9,27.57,28.4,100,90,11.18,BY,1608492460
Isangel,-19.55,169.27,75.76,82,9,8.48,VU,1608492495
Yar-Sale,66.83,70.83,-20.65,86,94,16.06,RU,1608492495
Seoul,37.57,126.98,19.4,85,1,2.01,KR,1608492496
Altamira,-3.2,-52.21,84.2,79,40,5.82,BR,1608492496
Cherskiy,68.75,161.3,-28.68,85,0,2.04,RU,1608492496
Uyuni,-20.46,-66.83,71.33,20,8,12.59,BO,1608492496
Muzhi,65.37,64.67,-5.28,91,93,9.01,RU,1608492496
Kokopo,-4.35,152.26,76.84,82,86,4.0,PG,1608492496
Norman Wells,65.28,-126.83,-31.0,66,75,5.82,CA,1608492353
Port Hedland,-20.32,118.57,80.6,78,100,6.93,AU,1608492496
Longyearbyen,78.22,15.64,6.8,60,0,29.97,SJ,1608492496
Jōetsu,37.15,138.24,25.0,89,100,10.8,JP,1608492496
Valkla,59.47,25.32,37.0,100,90,12.75,EE,1608492496
Tigil',57.8,158.67,1.09,93,91,4.74,RU,1608492496
Magway,20.15,94.92,65.26,69,0,4.97,MM,1608492496
Chokurdakh,70.63,147.92,-16.4,89,78,10.33,RU,1608492497
Kumul,42.8,93.45,17.4,88,0,4.12,CN,1608492497
Disna,55.57,28.2,31.19,98,0,8.21,BY,1608492497
Moose Factory,51.26,-80.61,35.6,80,90,17.22,CA,1608492497
Fortuna,40.6,-124.16,60.01,100,1,0.83,US,1608492497
Dahra,36.25,0.85,55.4,93,40,3.36,DZ,1608492497
Coquimbo,-29.95,-71.34,62.6,67,20,14.99,CL,1608492400
Klaksvík,62.23,-6.59,44.6,93,100,8.05,FO,1608492497
Goderich,43.75,-81.72,37.4,74,98,14.99,CA,1608492311
Caravelas,-17.71,-39.25,81.21,71,95,14.27,BR,1608492497
Ambon City,-3.7,128.18,81.93,76,98,6.85,ID,1608492497
Zyryanskoye,56.83,86.63,-5.6,91,84,4.94,RU,1608492498
Payo,-3.75,103.64,71.71,94,100,1.43,ID,1608492498
Saint Anthony,45.02,-93.22,37.99,59,1,8.05,US,1608492498
George Town,5.41,100.34,78.8,83,20,6.73,MY,1608492206
Santa Maria,-29.68,-53.81,77.0,47,0,6.93,BR,1608492498
Alice Springs,-23.7,133.88,73.4,94,75,2.24,AU,1608492418
Kavieng,-2.57,150.8,83.1,70,9,2.59,PG,1608492498
Doka,13.52,35.77,78.69,29,0,12.88,SD,1608492498
Whyalla,-33.03,137.58,60.8,93,90,5.82,AU,1608492498
Mar del Plata,-38.0,-57.56,57.0,87,75,13.87,AR,1608492498
Cuamba,-14.8,36.54,73.62,81,100,1.39,MZ,1608492498
Yulara,-25.24,130.99,69.8,83,75,5.82,AU,1608492498
Grand Gaube,-20.01,57.66,78.01,79,0,3.0,MU,1608492498
Vila Velha,-20.33,-40.29,88.0,70,20,19.46,BR,1608492263
Arman',59.7,150.17,-11.45,83,98,12.91,RU,1608492499
Honiara,-9.43,159.95,75.2,94,40,4.7,SB,1608492499
